,positive_value,index,k
0,82.93,0.0,1.0
1,81.05,1.0,1.0
2,80.83,2.0,1.0
3,73.59,3.0,1.0
4,67.99,4.0,1.0
5,58.11,5.0,1.0
6,23.81,6.0,1.0
7,78.0,7.0,1.0
8,53.97,8.0,1.0
9,49.51,9.0,1.0
10,57.78,10.0,1.0
11,47.79,11.0,1.0
12,54.14,12.0,1.0
13,51.4,13.0,1.0
14,57.99,14.0,1.0
15,56.28,15.0,1.0
16,78.15,16.0,1.0
17,52.23,17.0,1.0
18,39.18,18.0,1.0
19,28.33,19.0,1.0
20,42.77,20.0,1.0
21,48.72,21.0,1.0
22,71.23,22.0,1.0
23,40.0,23.0,1.0
24,18.95,24.0,1.0
25,48.31,25.0,1.0
26,45.83,26.0,1.0
27,40.64,27.0,1.0
28,44.2,28.0,1.0
29,50.0,29.0,1.0
30,37.62,30.0,1.0
31,58.56,31.0,1.0
32,48.59,32.0,1.0
33,50.53,33.0,1.0
34,58.7,34.0,1.0
35,60.17,35.0,1.0
36,18.15,36.0,1.0
37,23.81,37.0,1.0
38,29.41,38.0,1.0
39,56.33,39.0,1.0
40,59.05,40.0,1.0
41,37.27,41.0,1.0
42,41.3,42.0,1.0
43,49.27,43.0,1.0
44,40.0,44.0,1.0
45,50.53,45.0,1.0
46,36.33,46.0,1.0
47,33.33,47.0,1.0
48,42.15,48.0,1.0
49,35.89,49.0,1.0
50,53.41,50.0,1.0
51,55.0,51.0,1.0
52,64.33,52.0,1.0
53,67.12,53.0,1.0
54,46.15,54.0,1.0
55,38.69,55.0,1.0
56,46.31,56.0,1.0
57,40.64,57.0,1.0
58,25.26,58.0,1.0
59,47.33,59.0,1.0
60,54.69,60.0,1.0
61,59.11,61.0,1.0
62,31.52,62.0,1.0
63,40.91,63.0,1.0
64,44.65,64.0,1.0
65,35.99,65.0,1.0
66,40.68,66.0,1.0
67,29.03,67.0,1.0
68,42.55,68.0,1.0
69,40.75,69.0,1.0
70,18.48,70.0,1.0
71,20.0,71.0,1.0
72,26.1,72.0,1.0
73,26.47,73.0,1.0
74,38.19,74.0,1.0
75,31.91,75.0,1.0
76,19.9,76.0,1.0
77,30.67,77.0,1.0
78,7.91,78.0,1.0
79,44.97,79.0,1.0
80,32.46,80.0,1.0
81,29.57,81.0,1.0
82,20.29,82.0,1.0
83,28.31,83.0,1.0
84,29.93,84.0,1.0
85,31.66,85.0,1.0
86,27.37,86.0,1.0
87,22.63,87.0,1.0
