,positive_value,index,k
0,44.12,0.0,1.0
1,51.18,1.0,1.0
2,52.53,2.0,1.0
3,53.29,3.0,1.0
4,48.39,4.0,1.0
5,51.76,5.0,1.0
6,30.42,6.0,1.0
7,41.54,7.0,1.0
8,50.98,8.0,1.0
9,51.42,9.0,1.0
10,49.45,10.0,1.0
11,51.99,11.0,1.0
12,51.64,12.0,1.0
13,54.03,13.0,1.0
14,53.28,14.0,1.0
15,56.8,15.0,1.0
16,57.01,16.0,1.0
17,54.16,17.0,1.0
18,54.23,18.0,1.0
19,53.39,19.0,1.0
20,58.49,20.0,1.0
21,52.15,21.0,1.0
22,53.27,22.0,1.0
23,56.85,23.0,1.0
24,55.45,24.0,1.0
25,52.34,25.0,1.0
26,56.91,26.0,1.0
27,52.4,27.0,1.0
28,53.94,28.0,1.0
29,54.88,29.0,1.0
30,55.39,30.0,1.0
31,55.34,31.0,1.0
32,54.01,32.0,1.0
33,53.06,33.0,1.0
34,53.94,34.0,1.0
35,53.24,35.0,1.0
36,52.18,36.0,1.0
37,51.5,37.0,1.0
38,51.19,38.0,1.0
39,45.31,39.0,1.0
40,48.05,40.0,1.0
41,51.05,41.0,1.0
42,42.64,42.0,1.0
43,46.7,43.0,1.0
44,45.59,44.0,1.0
45,50.44,45.0,1.0
46,44.18,46.0,1.0
47,51.0,47.0,1.0
48,48.92,48.0,1.0
49,47.06,49.0,1.0
50,49.5,50.0,1.0
51,51.27,51.0,1.0
52,42.99,52.0,1.0
53,47.77,53.0,1.0
54,47.36,54.0,1.0
55,44.9,55.0,1.0
56,53.06,56.0,1.0
57,46.3,57.0,1.0
58,46.79,58.0,1.0
59,50.65,59.0,1.0
60,45.36,60.0,1.0
61,50.2,61.0,1.0
62,59.46,62.0,1.0
63,54.49,63.0,1.0
64,51.28,64.0,1.0
65,48.62,65.0,1.0
66,49.82,66.0,1.0
67,42.44,67.0,1.0
68,46.68,68.0,1.0
69,37.26,69.0,1.0
70,46.67,70.0,1.0
71,42.62,71.0,1.0
72,54.22,72.0,1.0
73,46.49,73.0,1.0
74,53.67,74.0,1.0
75,53.12,75.0,1.0
76,54.5,76.0,1.0
77,45.18,77.0,1.0
78,48.5,78.0,1.0
79,40.92,79.0,1.0
80,25.65,80.0,1.0
81,48.07,81.0,1.0
82,42.25,82.0,1.0
83,52.45,83.0,1.0
84,49.72,84.0,1.0
85,51.59,85.0,1.0
86,51.58,86.0,1.0
87,43.64,87.0,1.0
88,49.57,88.0,1.0
89,42.93,89.0,1.0
90,49.28,0.0,2.0
91,51.45,1.0,2.0
92,51.84,2.0,2.0
93,48.03,3.0,2.0
94,51.72,4.0,2.0
95,30.42,5.0,2.0
96,39.96,6.0,2.0
97,50.98,7.0,2.0
98,51.42,8.0,2.0
99,49.45,9.0,2.0
100,51.11,10.0,2.0
101,52.01,11.0,2.0
102,54.03,12.0,2.0
103,53.14,13.0,2.0
104,56.8,14.0,2.0
105,57.01,15.0,2.0
106,54.16,16.0,2.0
107,54.23,17.0,2.0
108,53.39,18.0,2.0
109,58.49,19.0,2.0
110,52.15,20.0,2.0
111,53.27,21.0,2.0
112,56.58,22.0,2.0
113,55.45,23.0,2.0
114,52.48,24.0,2.0
115,56.91,25.0,2.0
116,53.07,26.0,2.0
117,53.94,27.0,2.0
118,54.88,28.0,2.0
119,55.39,29.0,2.0
120,55.34,30.0,2.0
121,54.24,31.0,2.0
122,53.06,32.0,2.0
123,53.9,33.0,2.0
124,53.32,34.0,2.0
125,52.17,35.0,2.0
126,51.46,36.0,2.0
127,50.93,37.0,2.0
128,45.31,38.0,2.0
129,48.4,39.0,2.0
130,51.05,40.0,2.0
131,42.64,41.0,2.0
132,46.7,42.0,2.0
133,45.31,43.0,2.0
134,50.44,44.0,2.0
135,44.17,45.0,2.0
136,50.97,46.0,2.0
137,48.92,47.0,2.0
138,47.1,48.0,2.0
139,49.5,49.0,2.0
140,51.25,50.0,2.0
141,42.99,51.0,2.0
142,47.77,52.0,2.0
143,47.36,53.0,2.0
144,45.63,54.0,2.0
145,53.06,55.0,2.0
146,46.3,56.0,2.0
147,46.29,57.0,2.0
148,50.33,58.0,2.0
149,45.36,59.0,2.0
150,50.2,60.0,2.0
151,59.46,61.0,2.0
152,54.49,62.0,2.0
153,51.28,63.0,2.0
