,positive_value,index,k
227,53.08,49.0,2.0
228,60.0,50.0,2.0
229,51.46,51.0,2.0
230,62.01,52.0,2.0
231,59.11,53.0,2.0
232,51.11,54.0,2.0
233,50.49,55.0,2.0
234,51.83,56.0,2.0
235,49.37,57.0,2.0
236,58.02,58.0,2.0
237,47.87,59.0,2.0
238,33.86,60.0,2.0
239,54.26,61.0,2.0
240,62.12,62.0,2.0
241,51.52,63.0,2.0
242,51.92,64.0,2.0
243,54.91,65.0,2.0
244,61.51,66.0,2.0
245,56.53,67.0,2.0
246,56.82,68.0,2.0
247,49.85,69.0,2.0
248,53.56,70.0,2.0
249,58.59,71.0,2.0
250,53.04,72.0,2.0
251,55.31,73.0,2.0
252,52.37,74.0,2.0
253,38.93,75.0,2.0
254,45.13,76.0,2.0
255,44.27,77.0,2.0
256,58.2,78.0,2.0
257,53.02,79.0,2.0
258,58.51,80.0,2.0
259,44.9,81.0,2.0
260,51.26,82.0,2.0
261,49.0,83.0,2.0
262,45.97,84.0,2.0
263,41.47,85.0,2.0
264,47.98,86.0,2.0
265,44.12,87.0,2.0
266,51.01,88.0,2.0
267,52.58,89.0,2.0
268,52.38,90.0,2.0
269,48.19,91.0,2.0
270,51.72,92.0,2.0
271,30.42,93.0,2.0
272,39.96,94.0,2.0
273,50.98,95.0,2.0
274,51.42,96.0,2.0
275,49.45,97.0,2.0
276,51.11,98.0,2.0
277,51.64,99.0,2.0
278,54.03,100.0,2.0
279,53.42,101.0,2.0
280,56.8,102.0,2.0
281,57.01,103.0,2.0
282,54.16,104.0,2.0
283,54.23,105.0,2.0
284,53.39,106.0,2.0
285,58.49,107.0,2.0
286,52.15,108.0,2.0
287,53.27,109.0,2.0
288,56.85,110.0,2.0
289,55.45,111.0,2.0
290,52.48,112.0,2.0
291,56.86,113.0,2.0
292,52.0,114.0,2.0
293,53.94,115.0,2.0
294,54.57,116.0,2.0
295,55.39,117.0,2.0
296,55.34,118.0,2.0
297,55.04,119.0,2.0
298,53.06,120.0,2.0
299,53.9,121.0,2.0
300,53.22,122.0,2.0
301,52.2,123.0,2.0
302,51.56,124.0,2.0
303,51.15,125.0,2.0
304,45.31,126.0,2.0
305,48.1,127.0,2.0
306,51.14,128.0,2.0
307,42.63,129.0,2.0
308,46.7,130.0,2.0
309,45.19,131.0,2.0
310,50.26,132.0,2.0
311,44.18,133.0,2.0
312,50.91,134.0,2.0
313,48.92,135.0,2.0
314,47.1,136.0,2.0
315,49.5,137.0,2.0
316,51.25,138.0,2.0
317,43.5,139.0,2.0
318,47.77,140.0,2.0
319,47.36,141.0,2.0
320,45.63,142.0,2.0
321,53.0,143.0,2.0
322,46.3,144.0,2.0
323,46.29,145.0,2.0
324,50.33,146.0,2.0
325,45.36,147.0,2.0
326,50.66,148.0,2.0
327,59.46,149.0,2.0
328,54.49,150.0,2.0
329,51.28,151.0,2.0
330,48.62,152.0,2.0
331,49.82,153.0,2.0
332,39.63,154.0,2.0
333,46.68,155.0,2.0
334,35.82,156.0,2.0
335,46.67,157.0,2.0
336,42.62,158.0,2.0
337,53.96,159.0,2.0
338,45.79,160.0,2.0
339,53.67,161.0,2.0
340,52.96,162.0,2.0
341,54.5,163.0,2.0
342,45.18,164.0,2.0
343,48.5,165.0,2.0
344,42.47,166.0,2.0
345,25.65,167.0,2.0
346,48.07,168.0,2.0
347,42.25,169.0,2.0
348,52.45,170.0,2.0
349,49.72,171.0,2.0
350,52.07,172.0,2.0
351,51.58,173.0,2.0
352,43.64,174.0,2.0
353,50.29,175.0,2.0
354,43.77,176.0,2.0
355,59.17,0.0,3.0
356,59.21,1.0,3.0
357,54.52,2.0,3.0
358,53.9,3.0,3.0
359,54.34,4.0,3.0
360,52.57,5.0,3.0
361,50.98,6.0,3.0
362,59.31,7.0,3.0
363,50.87,8.0,3.0
364,53.66,9.0,3.0
365,60.64,10.0,3.0
366,34.41,11.0,3.0
367,55.6,12.0,3.0
368,50.81,13.0,3.0
369,52.41,14.0,3.0
370,54.77,15.0,3.0
371,46.72,16.0,3.0
372,51.29,17.0,3.0
373,49.49,18.0,3.0
374,61.93,19.0,3.0
375,54.15,20.0,3.0
376,42.16,21.0,3.0
377,40.71,22.0,3.0
378,55.61,23.0,3.0
379,54.37,24.0,3.0
380,53.95,25.0,3.0
381,60.46,26.0,3.0
382,50.39,27.0,3.0
383,50.55,28.0,3.0
384,54.94,29.0,3.0
385,47.53,30.0,3.0
386,53.93,31.0,3.0
387,52.6,32.0,3.0
388,56.35,33.0,3.0
389,53.1,34.0,3.0
390,56.3,35.0,3.0
391,54.62,36.0,3.0
392,47.8,37.0,3.0
393,44.17,38.0,3.0
394,55.08,39.0,3.0
395,51.23,40.0,3.0
396,50.23,41.0,3.0
397,44.19,42.0,3.0
398,45.49,43.0,3.0
399,53.52,44.0,3.0
400,50.61,45.0,3.0
401,46.9,46.0,3.0
402,46.5,47.0,3.0
403,49.02,48.0,3.0
404,53.79,49.0,3.0
405,54.86,50.0,3.0
406,56.36,51.0,3.0
407,55.91,52.0,3.0
408,55.49,53.0,3.0
409,52.63,54.0,3.0
410,56.35,55.0,3.0
411,53.67,56.0,3.0
412,52.84,57.0,3.0
413,54.87,58.0,3.0
414,54.82,59.0,3.0
415,53.41,60.0,3.0
416,52.41,61.0,3.0
417,51.31,62.0,3.0
418,46.51,63.0,3.0
419,47.87,64.0,3.0
420,46.0,65.0,3.0
421,48.03,66.0,3.0
422,49.84,67.0,3.0
423,48.5,68.0,3.0
424,49.1,69.0,3.0
425,47.05,70.0,3.0
426,49.63,71.0,3.0
427,46.29,72.0,3.0
428,47.29,73.0,3.0
429,52.74,74.0,3.0
430,52.46,75.0,3.0
431,49.7,76.0,3.0
432,44.14,77.0,3.0
433,41.4,78.0,3.0
434,49.83,79.0,3.0
435,49.21,80.0,3.0
436,53.47,81.0,3.0
437,45.84,82.0,3.0
438,36.49,83.0,3.0
439,44.77,84.0,3.0
440,49.01,85.0,3.0
441,51.69,86.0,3.0
442,47.01,87.0,3.0
443,59.64,0.0,4.0
444,56.03,1.0,4.0
445,55.27,2.0,4.0
446,53.58,3.0,4.0
447,50.88,4.0,4.0
448,56.6,5.0,4.0
449,52.79,6.0,4.0
450,44.66,7.0,4.0
451,54.75,8.0,4.0
452,50.98,9.0,4.0
453,55.13,10.0,4.0
454,49.52,11.0,4.0
455,51.39,12.0,4.0
456,54.19,13.0,4.0
457,45.04,14.0,4.0
458,48.57,15.0,4.0
459,54.38,16.0,4.0
460,58.3,17.0,4.0
461,50.13,18.0,4.0
462,54.56,19.0,4.0
463,52.72,20.0,4.0
464,52.96,21.0,4.0
465,56.66,22.0,4.0
466,53.03,23.0,4.0
467,52.3,24.0,4.0
468,41.7,25.0,4.0
469,56.05,26.0,4.0
470,49.5,27.0,4.0
471,43.73,28.0,4.0
472,52.34,29.0,4.0
473,51.13,30.0,4.0
474,40.98,31.0,4.0
475,49.73,32.0,4.0
476,53.93,33.0,4.0
477,56.01,34.0,4.0
478,55.21,35.0,4.0
479,53.81,36.0,4.0
480,54.18,37.0,4.0
481,53.5,38.0,4.0
482,54.63,39.0,4.0
483,53.31,40.0,4.0
484,52.4,41.0,4.0
485,48.54,42.0,4.0
486,45.08,43.0,4.0
487,48.46,44.0,4.0
488,48.47,45.0,4.0
489,48.89,46.0,4.0
490,48.64,47.0,4.0
491,47.2,48.0,4.0
492,48.62,49.0,4.0
493,51.06,50.0,4.0
494,46.27,51.0,4.0
495,41.71,52.0,4.0
496,51.05,53.0,4.0
497,52.15,54.0,4.0
498,38.48,55.0,4.0
499,45.82,56.0,4.0
500,51.16,57.0,4.0
501,45.04,58.0,4.0
502,59.0,0.0,5.0
503,55.28,1.0,5.0
504,54.58,2.0,5.0
505,53.87,3.0,5.0
506,51.65,4.0,5.0
507,46.58,5.0,5.0
508,52.59,6.0,5.0
509,53.57,7.0,5.0
510,48.5,8.0,5.0
511,54.94,9.0,5.0
512,48.67,10.0,5.0
513,49.42,11.0,5.0
514,53.95,12.0,5.0
515,56.64,13.0,5.0
516,54.07,14.0,5.0
517,53.24,15.0,5.0
518,53.3,16.0,5.0
519,53.92,17.0,5.0
520,49.77,18.0,5.0
521,49.33,19.0,5.0
522,50.55,20.0,5.0
523,43.62,21.0,5.0
524,52.53,22.0,5.0
525,46.36,23.0,5.0
526,54.24,24.0,5.0
527,55.0,25.0,5.0
528,55.56,26.0,5.0
529,54.9,27.0,5.0
530,53.16,28.0,5.0
531,54.62,29.0,5.0
532,52.56,30.0,5.0
533,49.82,31.0,5.0
534,46.82,32.0,5.0
535,48.47,33.0,5.0
536,48.67,34.0,5.0
537,48.4,35.0,5.0
538,46.5,36.0,5.0
539,51.95,37.0,5.0
540,46.87,38.0,5.0
541,46.79,39.0,5.0
542,51.47,40.0,5.0
543,39.49,41.0,5.0
544,46.12,42.0,5.0
545,50.4,43.0,5.0
546,58.11,0.0,6.0
547,56.18,1.0,6.0
548,51.77,2.0,6.0
549,54.6,3.0,6.0
550,51.31,4.0,6.0
551,51.83,5.0,6.0
552,54.73,6.0,6.0
553,51.46,7.0,6.0
554,49.32,8.0,6.0
555,53.51,9.0,6.0
556,55.97,10.0,6.0
557,53.75,11.0,6.0
558,52.61,12.0,6.0
559,53.96,13.0,6.0
560,52.77,14.0,6.0
561,45.97,15.0,6.0
562,49.68,16.0,6.0
563,49.98,17.0,6.0
564,48.85,18.0,6.0
565,54.26,19.0,6.0
566,54.96,20.0,6.0
567,54.83,21.0,6.0
568,54.41,22.0,6.0
569,54.43,23.0,6.0
570,52.78,24.0,6.0
571,48.09,25.0,6.0
572,47.41,26.0,6.0
573,48.52,27.0,6.0
574,47.74,28.0,6.0
575,47.94,29.0,6.0
576,49.59,30.0,6.0
577,46.65,31.0,6.0
578,50.86,32.0,6.0
579,41.53,33.0,6.0
580,50.13,34.0,6.0
581,57.1,0.0,7.0
582,55.7,1.0,7.0
583,52.92,2.0,7.0
584,47.92,3.0,7.0
585,52.26,4.0,7.0
586,52.81,5.0,7.0
587,53.73,6.0,7.0
588,45.79,7.0,7.0
589,55.07,8.0,7.0
590,53.11,9.0,7.0
591,52.89,10.0,7.0
592,54.6,11.0,7.0
593,48.32,12.0,7.0
594,50.76,13.0,7.0
595,49.24,14.0,7.0
596,49.2,15.0,7.0
597,54.23,16.0,7.0
598,55.71,17.0,7.0
599,54.71,18.0,7.0
600,54.25,19.0,7.0
601,52.88,20.0,7.0
602,46.63,21.0,7.0
603,48.24,22.0,7.0
604,48.61,23.0,7.0
605,47.52,24.0,7.0
606,48.92,25.0,7.0
607,47.65,26.0,7.0
608,47.75,27.0,7.0
609,49.24,28.0,7.0
610,57.62,0.0,8.0
611,55.35,1.0,8.0
612,54.47,2.0,8.0
613,51.14,3.0,8.0
614,53.73,4.0,8.0
615,51.99,5.0,8.0
616,45.12,6.0,8.0
617,55.75,7.0,8.0
618,53.14,8.0,8.0
619,53.11,9.0,8.0
620,50.13,10.0,8.0
621,50.09,11.0,8.0
622,50.18,12.0,8.0
623,48.32,13.0,8.0
624,54.57,14.0,8.0
625,55.16,15.0,8.0
626,53.94,16.0,8.0
627,52.91,17.0,8.0
628,47.36,18.0,8.0
629,48.02,19.0,8.0
630,47.19,20.0,8.0
631,49.5,21.0,8.0
632,45.93,22.0,8.0
633,48.85,23.0,8.0
634,48.72,24.0,8.0
635,56.16,0.0,9.0
636,55.0,1.0,9.0
637,48.83,2.0,9.0
638,52.76,3.0,9.0
639,51.84,4.0,9.0
640,48.52,5.0,9.0
641,54.66,6.0,9.0
642,52.99,7.0,9.0
643,53.41,8.0,9.0
644,49.02,9.0,9.0
645,47.62,10.0,9.0
646,50.99,11.0,9.0
647,54.52,12.0,9.0
648,55.18,13.0,9.0
649,54.05,14.0,9.0
650,52.8,15.0,9.0
651,47.55,16.0,9.0
652,48.4,17.0,9.0
653,48.0,18.0,9.0
654,46.57,19.0,9.0
655,47.94,20.0,9.0
656,48.57,21.0,9.0
657,56.53,0.0,10.0
658,54.19,1.0,10.0
659,53.58,2.0,10.0
660,51.21,3.0,10.0
661,50.64,4.0,10.0
662,54.78,5.0,10.0
663,52.64,6.0,10.0
664,53.28,7.0,10.0
665,50.0,8.0,10.0
666,49.02,9.0,10.0
667,49.89,10.0,10.0
668,54.61,11.0,10.0
669,54.46,12.0,10.0
670,52.96,13.0,10.0
671,47.22,14.0,10.0
672,48.38,15.0,10.0
673,48.02,16.0,10.0
674,47.26,17.0,10.0
675,47.13,18.0,10.0
676,56.96,0.0,11.0
677,52.67,1.0,11.0
678,51.87,2.0,11.0
679,53.4,3.0,11.0
680,51.78,4.0,11.0
681,54.26,5.0,11.0
682,52.67,6.0,11.0
683,49.98,7.0,11.0
684,49.46,8.0,11.0
685,55.56,9.0,11.0
686,54.85,10.0,11.0
687,54.4,11.0,11.0
688,52.7,12.0,11.0
689,47.8,13.0,11.0
690,47.35,14.0,11.0
691,47.55,15.0,11.0
692,47.36,16.0,11.0
693,56.68,0.0,12.0
694,54.07,1.0,12.0
695,51.65,2.0,12.0
696,50.04,3.0,12.0
697,54.32,4.0,12.0
698,52.63,5.0,12.0
699,51.4,6.0,12.0
700,47.67,7.0,12.0
701,50.93,8.0,12.0
702,54.63,9.0,12.0
703,53.8,10.0,12.0
704,52.12,11.0,12.0
705,48.08,12.0,12.0
706,48.69,13.0,12.0
707,48.74,14.0,12.0
708,46.56,15.0,12.0
709,56.4,0.0,13.0
710,51.27,1.0,13.0
711,52.23,2.0,13.0
712,50.12,3.0,13.0
713,54.13,4.0,13.0
714,52.9,5.0,13.0
715,49.6,6.0,13.0
716,49.25,7.0,13.0
717,54.73,8.0,13.0
718,54.51,9.0,13.0
719,52.43,10.0,13.0
720,48.31,11.0,13.0
721,47.77,12.0,13.0
722,47.41,13.0,13.0
723,56.38,0.0,14.0
724,52.75,1.0,14.0
725,51.32,2.0,14.0
726,52.16,3.0,14.0
727,53.14,4.0,14.0
728,51.08,5.0,14.0
729,50.07,6.0,14.0
730,55.11,7.0,14.0
731,54.57,8.0,14.0
732,52.82,9.0,14.0
733,47.63,10.0,14.0
734,48.3,11.0,14.0
735,47.4,12.0,14.0
736,56.16,0.0,15.0
737,52.31,1.0,15.0
738,52.91,2.0,15.0
739,52.91,3.0,15.0
740,52.97,4.0,15.0
741,50.08,5.0,15.0
742,49.32,6.0,15.0
743,54.75,7.0,15.0
744,53.03,8.0,15.0
745,47.59,9.0,15.0
746,47.88,10.0,15.0
747,47.06,11.0,15.0
748,56.1,0.0,16.0
749,52.34,1.0,16.0
750,51.25,2.0,16.0
751,53.79,3.0,16.0
752,52.35,4.0,16.0
753,48.65,5.0,16.0
754,55.65,6.0,16.0
755,54.47,7.0,16.0
756,52.17,8.0,16.0
757,47.85,9.0,16.0
758,49.03,10.0,16.0
759,56.2,0.0,17.0
760,52.35,1.0,17.0
761,49.66,2.0,17.0
762,53.5,3.0,17.0
763,51.01,4.0,17.0
764,49.33,5.0,17.0
765,54.78,6.0,17.0
766,53.05,7.0,17.0
767,47.79,8.0,17.0
768,47.25,9.0,17.0
769,48.19,10.0,17.0
770,56.3,0.0,18.0
771,51.76,1.0,18.0
772,51.86,2.0,18.0
773,53.41,3.0,18.0
774,50.08,4.0,18.0
775,54.61,5.0,18.0
776,54.76,6.0,18.0
777,52.21,7.0,18.0
778,48.06,8.0,18.0
779,46.82,9.0,18.0
780,56.19,0.0,19.0
781,51.79,1.0,19.0
782,53.16,2.0,19.0
783,52.89,3.0,19.0
784,49.16,4.0,19.0
785,56.02,5.0,19.0
786,53.15,6.0,19.0
787,47.66,7.0,19.0
788,47.45,8.0,19.0
789,56.12,0.0,20.0
790,51.75,1.0,20.0
791,52.9,2.0,20.0
792,52.13,3.0,20.0
793,49.2,4.0,20.0
794,54.66,5.0,20.0
795,52.78,6.0,20.0
796,47.77,7.0,20.0
797,46.87,8.0,20.0
798,56.14,0.0,21.0
799,52.21,1.0,21.0
800,52.71,2.0,21.0
801,51.21,3.0,21.0
802,52.89,4.0,21.0
803,54.64,5.0,21.0
804,51.82,6.0,21.0
805,47.31,7.0,21.0
806,56.16,0.0,22.0
807,52.14,1.0,22.0
808,52.58,2.0,22.0
809,51.06,3.0,22.0
810,54.6,4.0,22.0
811,53.24,5.0,22.0
812,47.44,6.0,22.0
813,47.59,7.0,22.0
814,56.23,0.0,23.0
815,50.98,1.0,23.0
816,53.07,2.0,23.0
817,49.4,3.0,23.0
818,55.64,4.0,23.0
819,53.0,5.0,23.0
820,48.0,6.0,23.0
821,47.61,7.0,23.0
822,55.96,0.0,24.0
823,50.99,1.0,24.0
824,53.67,2.0,24.0
825,49.67,3.0,24.0
826,54.87,4.0,24.0
827,52.39,5.0,24.0
828,47.46,6.0,24.0
829,55.77,0.0,25.0
830,51.48,1.0,25.0
831,53.46,2.0,25.0
832,49.12,3.0,25.0
833,54.58,4.0,25.0
834,51.71,5.0,25.0
835,47.15,6.0,25.0
836,55.8,0.0,26.0
837,51.95,1.0,26.0
838,52.9,2.0,26.0
839,52.27,3.0,26.0
840,53.31,4.0,26.0
841,47.69,5.0,26.0
842,47.94,6.0,26.0
843,55.83,0.0,27.0
844,51.64,1.0,27.0
845,52.04,2.0,27.0
846,53.85,3.0,27.0
847,53.23,4.0,27.0
848,47.58,5.0,27.0
849,55.74,0.0,28.0
850,52.42,1.0,28.0
851,51.69,2.0,28.0
852,54.65,3.0,28.0
853,52.8,4.0,28.0
854,47.81,5.0,28.0
855,55.3,0.0,29.0
856,52.72,1.0,29.0
857,51.24,2.0,29.0
858,55.25,3.0,29.0
859,52.45,4.0,29.0
860,47.27,5.0,29.0
