,positive_value,index,k
0,62.09,0.0,1.0
1,63.33,1.0,1.0
2,65.37,2.0,1.0
3,58.61,3.0,1.0
4,56.91,4.0,1.0
5,52.38,5.0,1.0
6,54.0,6.0,1.0
7,53.58,7.0,1.0
8,54.15,8.0,1.0
9,53.59,9.0,1.0
10,49.93,10.0,1.0
11,60.2,11.0,1.0
12,58.49,12.0,1.0
13,47.29,13.0,1.0
14,60.61,14.0,1.0
15,60.31,15.0,1.0
16,53.65,16.0,1.0
17,47.95,17.0,1.0
18,41.67,18.0,1.0
19,55.69,19.0,1.0
20,57.69,20.0,1.0
21,64.1,21.0,1.0
22,29.52,22.0,1.0
23,39.22,23.0,1.0
24,54.97,24.0,1.0
25,57.39,25.0,1.0
26,54.43,26.0,1.0
27,50.59,27.0,1.0
28,50.74,28.0,1.0
29,42.86,29.0,1.0
30,55.11,30.0,1.0
31,56.67,31.0,1.0
32,45.26,32.0,1.0
33,50.0,33.0,1.0
34,62.34,34.0,1.0
35,37.1,35.0,1.0
36,50.22,36.0,1.0
37,49.67,37.0,1.0
38,62.67,38.0,1.0
39,60.48,39.0,1.0
40,47.51,40.0,1.0
41,52.54,41.0,1.0
42,46.19,42.0,1.0
43,41.82,43.0,1.0
44,53.68,44.0,1.0
45,26.0,45.0,1.0
46,63.4,46.0,1.0
47,52.69,47.0,1.0
48,44.01,48.0,1.0
49,53.08,49.0,1.0
50,60.0,50.0,1.0
51,51.46,51.0,1.0
52,62.01,52.0,1.0
53,59.11,53.0,1.0
54,51.11,54.0,1.0
55,51.23,55.0,1.0
56,51.83,56.0,1.0
57,49.37,57.0,1.0
58,58.02,58.0,1.0
59,47.87,59.0,1.0
60,33.86,60.0,1.0
61,54.26,61.0,1.0
62,62.12,62.0,1.0
63,51.52,63.0,1.0
64,51.92,64.0,1.0
65,54.91,65.0,1.0
66,61.51,66.0,1.0
67,55.35,67.0,1.0
68,56.82,68.0,1.0
69,49.85,69.0,1.0
70,53.56,70.0,1.0
71,58.59,71.0,1.0
72,53.04,72.0,1.0
73,55.31,73.0,1.0
74,52.56,74.0,1.0
75,38.93,75.0,1.0
76,45.19,76.0,1.0
77,44.27,77.0,1.0
78,58.2,78.0,1.0
79,53.02,79.0,1.0
80,58.51,80.0,1.0
81,44.9,81.0,1.0
82,51.26,82.0,1.0
83,49.0,83.0,1.0
84,45.97,84.0,1.0
85,41.47,85.0,1.0
86,47.98,86.0,1.0
87,44.12,87.0,1.0
88,51.01,88.0,1.0
89,52.58,89.0,1.0
90,52.38,90.0,1.0
91,48.19,91.0,1.0
92,51.72,92.0,1.0
93,30.42,93.0,1.0
94,40.06,94.0,1.0
95,50.98,95.0,1.0
96,51.42,96.0,1.0
97,49.45,97.0,1.0
98,51.11,98.0,1.0
99,51.64,99.0,1.0
100,54.37,100.0,1.0
101,53.42,101.0,1.0
102,56.8,102.0,1.0
103,56.38,103.0,1.0
104,54.16,104.0,1.0
105,54.23,105.0,1.0
106,52.63,106.0,1.0
107,58.49,107.0,1.0
108,52.6,108.0,1.0
109,53.29,109.0,1.0
110,56.66,110.0,1.0
111,55.45,111.0,1.0
112,52.48,112.0,1.0
113,56.53,113.0,1.0
114,52.0,114.0,1.0
115,53.92,115.0,1.0
116,54.38,116.0,1.0
