,positive_value,index,k
0,62.35,0.0,1.0
1,42.42,1.0,1.0
2,55.86,2.0,1.0
3,62.09,3.0,1.0
4,60.83,4.0,1.0
5,66.23,5.0,1.0
6,58.61,6.0,1.0
7,56.91,7.0,1.0
8,52.38,8.0,1.0
9,54.0,9.0,1.0
10,53.58,10.0,1.0
11,54.15,11.0,1.0
12,53.59,12.0,1.0
13,49.93,13.0,1.0
14,60.2,14.0,1.0
15,58.49,15.0,1.0
16,47.29,16.0,1.0
17,60.61,17.0,1.0
18,57.23,18.0,1.0
19,53.65,19.0,1.0
20,47.95,20.0,1.0
21,41.67,21.0,1.0
22,55.69,22.0,1.0
23,57.69,23.0,1.0
24,64.1,24.0,1.0
25,29.52,25.0,1.0
26,39.22,26.0,1.0
27,57.08,27.0,1.0
28,58.33,28.0,1.0
29,54.43,29.0,1.0
30,50.59,30.0,1.0
31,50.74,31.0,1.0
32,42.86,32.0,1.0
33,55.11,33.0,1.0
34,56.67,34.0,1.0
35,45.26,35.0,1.0
36,50.0,36.0,1.0
37,62.34,37.0,1.0
38,37.1,38.0,1.0
39,50.22,39.0,1.0
40,49.67,40.0,1.0
41,62.67,41.0,1.0
42,60.48,42.0,1.0
43,49.5,43.0,1.0
44,52.54,44.0,1.0
45,44.03,45.0,1.0
46,41.82,46.0,1.0
47,53.68,47.0,1.0
48,26.0,48.0,1.0
49,63.4,49.0,1.0
50,52.69,50.0,1.0
51,44.01,51.0,1.0
52,53.08,52.0,1.0
53,60.0,53.0,1.0
54,51.46,54.0,1.0
55,62.01,55.0,1.0
56,59.38,56.0,1.0
57,51.11,57.0,1.0
58,50.49,58.0,1.0
59,51.83,59.0,1.0
60,49.37,60.0,1.0
61,58.02,61.0,1.0
62,46.93,62.0,1.0
63,33.86,63.0,1.0
64,53.66,64.0,1.0
65,62.12,65.0,1.0
66,51.52,66.0,1.0
67,51.92,67.0,1.0
68,55.19,68.0,1.0
69,61.51,69.0,1.0
70,56.53,70.0,1.0
71,54.86,71.0,1.0
72,49.85,72.0,1.0
73,53.56,73.0,1.0
74,58.59,74.0,1.0
75,53.04,75.0,1.0
76,55.31,76.0,1.0
77,52.37,77.0,1.0
78,38.93,78.0,1.0
79,45.19,79.0,1.0
80,44.27,80.0,1.0
81,58.2,81.0,1.0
82,53.02,82.0,1.0
83,58.51,83.0,1.0
84,44.9,84.0,1.0
85,51.26,85.0,1.0
86,49.0,86.0,1.0
87,45.97,87.0,1.0
88,41.47,88.0,1.0
89,47.98,89.0,1.0
90,44.12,90.0,1.0
91,51.06,91.0,1.0
92,51.53,92.0,1.0
93,51.84,93.0,1.0
94,48.03,94.0,1.0
95,51.72,95.0,1.0
96,30.42,96.0,1.0
97,40.06,97.0,1.0
98,50.98,98.0,1.0
99,51.42,99.0,1.0
100,49.45,100.0,1.0
101,51.11,101.0,1.0
102,52.01,102.0,1.0
103,54.03,103.0,1.0
104,53.14,104.0,1.0
105,56.8,105.0,1.0
106,57.01,106.0,1.0
107,54.16,107.0,1.0
108,54.23,108.0,1.0
109,53.39,109.0,1.0
110,58.49,110.0,1.0
111,52.15,111.0,1.0
112,53.27,112.0,1.0
113,56.58,113.0,1.0
114,55.45,114.0,1.0
115,52.48,115.0,1.0
116,56.91,116.0,1.0
117,53.07,117.0,1.0
118,53.94,118.0,1.0
119,55.06,119.0,1.0
120,55.39,120.0,1.0
121,55.21,121.0,1.0
122,54.39,122.0,1.0
123,53.06,123.0,1.0
124,53.91,124.0,1.0
125,53.32,125.0,1.0
126,52.18,126.0,1.0
127,51.46,127.0,1.0
128,50.94,128.0,1.0
129,45.32,129.0,1.0
130,48.4,130.0,1.0
131,51.15,131.0,1.0
132,42.62,132.0,1.0
133,46.7,133.0,1.0
134,45.3,134.0,1.0
135,50.44,135.0,1.0
136,44.18,136.0,1.0
137,50.97,137.0,1.0
138,48.92,138.0,1.0
139,47.07,139.0,1.0
140,49.5,140.0,1.0
141,51.27,141.0,1.0
142,42.38,142.0,1.0
143,47.77,143.0,1.0
144,47.36,144.0,1.0
145,45.58,145.0,1.0
146,53.06,146.0,1.0
147,46.3,147.0,1.0
148,46.29,148.0,1.0
149,50.65,149.0,1.0
150,45.36,150.0,1.0
151,50.66,151.0,1.0
152,59.46,152.0,1.0
153,54.49,153.0,1.0
154,51.28,154.0,1.0
155,48.62,155.0,1.0
156,49.82,156.0,1.0
157,39.63,157.0,1.0
158,46.68,158.0,1.0
159,37.26,159.0,1.0
160,46.67,160.0,1.0
161,42.62,161.0,1.0
162,53.96,162.0,1.0
163,45.91,163.0,1.0
164,53.67,164.0,1.0
165,53.01,165.0,1.0
166,54.5,166.0,1.0
167,45.18,167.0,1.0
168,48.5,168.0,1.0
169,41.56,169.0,1.0
170,25.65,170.0,1.0
171,48.07,171.0,1.0
172,42.25,172.0,1.0
173,52.45,173.0,1.0
174,49.72,174.0,1.0
175,51.67,175.0,1.0
176,51.58,176.0,1.0
177,43.64,177.0,1.0
178,50.29,178.0,1.0
179,43.77,179.0,1.0
180,57.65,0.0,2.0
181,55.86,1.0,2.0
182,62.09,2.0,2.0
183,60.83,3.0,2.0
184,65.37,4.0,2.0
185,58.61,5.0,2.0
186,56.91,6.0,2.0
187,52.38,7.0,2.0
188,54.0,8.0,2.0
189,53.79,9.0,2.0
190,54.37,10.0,2.0
191,53.59,11.0,2.0
192,49.93,12.0,2.0
193,60.2,13.0,2.0
