,positive_value,index,k
0,59.33,0.0,1.0
1,53.6,1.0,1.0
2,52.42,2.0,1.0
3,64.05,3.0,1.0
4,55.0,4.0,1.0
5,50.65,5.0,1.0
6,52.06,6.0,1.0
7,43.99,7.0,1.0
8,56.88,8.0,1.0
9,53.0,9.0,1.0
10,50.3,10.0,1.0
11,50.99,11.0,1.0
12,66.48,12.0,1.0
13,50.56,13.0,1.0
14,45.39,14.0,1.0
15,51.61,15.0,1.0
16,56.94,16.0,1.0
17,53.68,17.0,1.0
18,65.85,18.0,1.0
19,53.65,19.0,1.0
20,66.08,20.0,1.0
21,59.17,21.0,1.0
22,62.46,22.0,1.0
23,58.97,23.0,1.0
24,51.28,24.0,1.0
25,58.57,25.0,1.0
26,52.94,26.0,1.0
27,52.85,27.0,1.0
28,55.49,28.0,1.0
29,49.75,29.0,1.0
30,52.79,30.0,1.0
31,39.41,31.0,1.0
32,59.05,32.0,1.0
33,60.51,33.0,1.0
34,42.73,34.0,1.0
35,57.89,35.0,1.0
36,53.99,36.0,1.0
37,56.28,37.0,1.0
38,55.04,38.0,1.0
39,61.04,39.0,1.0
40,56.86,40.0,1.0
41,52.0,41.0,1.0
42,45.71,42.0,1.0
43,60.03,43.0,1.0
44,53.99,44.0,1.0
45,59.89,45.0,1.0
46,32.73,46.0,1.0
47,62.63,47.0,1.0
48,39.0,48.0,1.0
49,56.21,49.0,1.0
50,50.75,50.0,1.0
51,51.37,51.0,1.0
52,58.0,52.0,1.0
53,65.83,53.0,1.0
54,58.48,54.0,1.0
55,47.0,55.0,1.0
56,58.03,56.0,1.0
57,53.64,57.0,1.0
58,56.16,58.0,1.0
59,61.68,59.0,1.0
60,59.73,60.0,1.0
61,54.34,61.0,1.0
62,58.48,62.0,1.0
63,63.55,63.0,1.0
64,57.71,64.0,1.0
65,54.36,65.0,1.0
66,52.68,66.0,1.0
67,49.5,67.0,1.0
68,49.93,68.0,1.0
69,53.33,69.0,1.0
70,60.11,70.0,1.0
71,53.06,71.0,1.0
72,54.45,72.0,1.0
73,54.48,73.0,1.0
74,52.49,74.0,1.0
75,64.64,75.0,1.0
76,66.2,76.0,1.0
77,52.89,77.0,1.0
78,56.24,78.0,1.0
79,65.03,79.0,1.0
80,60.08,80.0,1.0
81,53.7,81.0,1.0
82,49.19,82.0,1.0
83,62.67,83.0,1.0
84,54.38,84.0,1.0
85,57.52,85.0,1.0
86,56.76,86.0,1.0
87,59.33,87.0,1.0
88,60.18,88.0,1.0
89,60.4,89.0,1.0
90,49.17,90.0,1.0
91,50.28,91.0,1.0
92,56.47,92.0,1.0
93,54.23,93.0,1.0
94,54.06,94.0,1.0
95,45.74,95.0,1.0
96,58.99,96.0,1.0
97,54.86,97.0,1.0
98,46.83,98.0,1.0
99,49.0,99.0,1.0
