,positive_value,index,k
0,85.0,0.0,1.0
1,44.16,1.0,1.0
2,63.58,2.0,1.0
3,29.43,3.0,1.0
4,27.78,4.0,1.0
5,54.0,5.0,1.0
6,40.12,6.0,1.0
7,42.65,7.0,1.0
8,46.61,8.0,1.0
9,42.42,9.0,1.0
10,19.53,10.0,1.0
11,39.78,11.0,1.0
12,51.21,12.0,1.0
13,44.59,13.0,1.0
14,69.23,14.0,1.0
15,44.92,15.0,1.0
16,39.18,16.0,1.0
17,20.83,17.0,1.0
18,25.85,18.0,1.0
19,41.03,19.0,1.0
20,59.54,20.0,1.0
21,15.71,21.0,1.0
22,24.18,22.0,1.0
23,37.0,23.0,1.0
24,46.59,24.0,1.0
25,25.12,25.0,1.0
26,27.99,26.0,1.0
27,14.53,27.0,1.0
28,10.95,28.0,1.0
29,37.84,29.0,1.0
30,41.62,30.0,1.0
31,21.05,31.0,1.0
32,30.8,32.0,1.0
33,53.25,33.0,1.0
34,13.1,34.0,1.0
35,16.02,35.0,1.0
36,20.92,36.0,1.0
37,47.0,37.0,1.0
38,39.05,38.0,1.0
39,21.34,39.0,1.0
40,24.28,40.0,1.0
41,33.19,41.0,1.0
42,7.27,42.0,1.0
43,39.47,43.0,1.0
44,15.0,44.0,1.0
45,33.33,45.0,1.0
46,23.44,46.0,1.0
47,23.03,47.0,1.0
48,41.15,48.0,1.0
49,38.33,49.0,1.0
50,43.27,50.0,1.0
51,49.7,51.0,1.0
52,33.74,52.0,1.0
53,25.25,53.0,1.0
54,29.31,54.0,1.0
55,27.57,55.0,1.0
56,21.78,56.0,1.0
57,40.22,57.0,1.0
58,31.63,58.0,1.0
59,30.34,59.0,1.0
60,22.93,60.0,1.0
61,12.69,61.0,1.0
62,29.47,62.0,1.0
63,15.93,63.0,1.0
64,24.04,64.0,1.0
65,22.8,65.0,1.0
66,35.54,66.0,1.0
67,40.8,67.0,1.0
68,23.38,68.0,1.0
69,24.14,69.0,1.0
70,15.25,70.0,1.0
71,23.19,71.0,1.0
72,32.57,72.0,1.0
73,32.21,73.0,1.0
74,17.24,74.0,1.0
75,28.49,75.0,1.0
76,16.6,76.0,1.0
77,35.19,77.0,1.0
78,27.82,78.0,1.0
79,25.96,79.0,1.0
80,20.24,80.0,1.0
81,30.27,81.0,1.0
82,26.77,82.0,1.0
83,25.55,83.0,1.0
84,24.39,84.0,1.0
85,22.63,85.0,1.0
86,9.5,86.0,1.0
87,25.99,87.0,1.0
88,29.61,88.0,1.0
89,41.12,89.0,1.0
90,45.99,90.0,1.0
91,23.35,91.0,1.0
92,24.37,92.0,1.0
93,11.42,93.0,1.0
94,10.49,94.0,1.0
95,19.21,95.0,1.0
96,16.67,96.0,1.0
97,23.82,97.0,1.0
98,27.41,98.0,1.0
99,19.61,99.0,1.0
100,26.82,100.0,1.0
101,19.78,101.0,1.0
102,21.75,102.0,1.0
103,26.37,103.0,1.0
104,27.95,104.0,1.0
105,32.03,105.0,1.0
106,26.74,106.0,1.0
107,19.64,107.0,1.0
108,21.86,108.0,1.0
109,20.39,109.0,1.0
110,22.21,110.0,1.0
111,25.87,111.0,1.0
112,23.4,112.0,1.0
113,19.69,113.0,1.0
114,27.74,114.0,1.0
115,23.88,115.0,1.0
116,25.86,116.0,1.0
117,15.3,117.0,1.0
118,20.85,118.0,1.0
119,19.28,119.0,1.0
120,16.37,120.0,1.0
121,14.87,121.0,1.0
122,14.75,122.0,1.0
123,14.78,123.0,1.0
124,11.76,124.0,1.0
125,10.47,125.0,1.0
126,15.65,126.0,1.0
127,16.33,127.0,1.0
128,15.1,128.0,1.0
129,9.96,129.0,1.0
130,12.45,130.0,1.0
131,12.77,131.0,1.0
132,11.47,132.0,1.0
133,16.25,133.0,1.0
134,14.04,134.0,1.0
135,13.02,135.0,1.0
136,8.71,136.0,1.0
137,12.57,137.0,1.0
138,10.38,138.0,1.0
139,11.39,139.0,1.0
140,15.84,140.0,1.0
141,15.62,141.0,1.0
142,14.03,142.0,1.0
143,22.35,143.0,1.0
144,13.62,144.0,1.0
145,24.56,145.0,1.0
146,10.55,146.0,1.0
147,18.32,147.0,1.0
148,20.27,148.0,1.0
149,12.03,149.0,1.0
150,12.24,150.0,1.0
151,15.35,151.0,1.0
152,17.92,152.0,1.0
153,13.78,153.0,1.0
154,9.09,154.0,1.0
155,19.45,155.0,1.0
156,14.32,156.0,1.0
157,13.55,157.0,1.0
158,11.35,158.0,1.0
159,11.57,159.0,1.0
160,18.16,160.0,1.0
161,17.68,161.0,1.0
162,14.9,162.0,1.0
163,12.45,163.0,1.0
164,15.92,164.0,1.0
165,24.01,165.0,1.0
166,31.41,166.0,1.0
167,22.39,167.0,1.0
168,25.07,168.0,1.0
169,18.87,169.0,1.0
170,8.52,170.0,1.0
171,13.42,171.0,1.0
172,14.88,172.0,1.0
173,13.45,173.0,1.0
174,10.82,174.0,1.0
175,8.22,175.0,1.0
176,66.0,0.0,2.0
177,59.03,1.0,2.0
178,56.46,2.0,2.0
179,50.53,3.0,2.0
180,47.33,4.0,2.0
181,49.07,5.0,2.0
182,51.68,6.0,2.0
183,50.7,7.0,2.0
184,54.95,8.0,2.0
185,49.29,9.0,2.0
186,40.86,10.0,2.0
187,58.75,11.0,2.0
188,62.34,12.0,2.0
189,44.92,13.0,2.0
190,58.65,14.0,2.0
191,70.76,15.0,2.0
192,54.17,16.0,2.0
193,50.77,17.0,2.0
194,64.1,18.0,2.0
195,50.71,19.0,2.0
196,59.52,20.0,2.0
197,61.44,21.0,2.0
198,45.14,22.0,2.0
199,40.72,23.0,2.0
200,24.63,24.0,2.0
201,49.49,25.0,2.0
202,45.57,26.0,2.0
203,59.05,27.0,2.0
204,51.65,28.0,2.0
205,58.28,29.0,2.0
206,53.16,30.0,2.0
207,53.99,31.0,2.0
208,65.8,32.0,2.0
209,57.46,33.0,2.0
210,54.11,34.0,2.0
211,55.56,35.0,2.0
212,59.33,36.0,2.0
213,53.33,37.0,2.0
214,54.91,38.0,2.0
215,50.36,39.0,2.0
216,64.22,40.0,2.0
217,65.45,41.0,2.0
218,57.37,42.0,2.0
219,58.67,43.0,2.0
220,51.63,44.0,2.0
221,35.05,45.0,2.0
222,51.9,46.0,2.0
223,48.76,47.0,2.0
224,43.33,48.0,2.0
225,47.95,49.0,2.0
226,45.65,50.0,2.0
227,54.39,51.0,2.0
228,47.17,52.0,2.0
229,41.13,53.0,2.0
230,57.92,54.0,2.0
231,52.11,55.0,2.0
232,54.14,56.0,2.0
233,64.28,57.0,2.0
234,64.2,58.0,2.0
235,54.2,59.0,2.0
236,49.05,60.0,2.0
237,52.1,61.0,2.0
238,54.05,62.0,2.0
239,51.35,63.0,2.0
240,50.75,64.0,2.0
241,56.43,65.0,2.0
242,52.93,66.0,2.0
243,55.05,67.0,2.0
244,59.08,68.0,2.0
245,54.58,69.0,2.0
246,51.69,70.0,2.0
247,54.35,71.0,2.0
248,50.85,72.0,2.0
249,47.3,73.0,2.0
250,56.44,74.0,2.0
251,50.59,75.0,2.0
252,48.94,76.0,2.0
253,57.86,77.0,2.0
254,59.61,78.0,2.0
255,52.88,79.0,2.0
256,51.27,80.0,2.0
257,56.5,81.0,2.0
258,58.11,82.0,2.0
259,54.7,83.0,2.0
260,55.66,84.0,2.0
261,51.81,85.0,2.0
262,54.85,86.0,2.0
263,55.8,87.0,2.0
264,49.69,88.0,2.0
265,54.45,89.0,2.0
266,52.13,90.0,2.0
267,49.24,91.0,2.0
268,56.55,92.0,2.0
269,54.76,93.0,2.0
270,53.89,94.0,2.0
271,51.54,95.0,2.0
272,51.93,96.0,2.0
